trial,ts_iso,compute_s,auth_s,cpu_percent,mem_percent
118,2025-10-21T15:33:11,0.001019,0.020222,59.4,43.0
119,2025-10-21T15:33:11,0.00119,0.021077,25.0,43.0
120,2025-10-21T15:33:11,0.001499,0.02518,46.9,43.0
121,2025-10-21T15:33:11,0.000902,0.024111,52.9,43.0
122,2025-10-21T15:33:11,0.001201,0.021191,62.5,43.0
123,2025-10-21T15:33:11,0.000834,0.019343,6.2,43.0
124,2025-10-21T15:33:11,0.001103,0.017339,52.9,43.0
125,2025-10-21T15:33:11,0.001123,0.019199,69.7,43.0
126,2025-10-21T15:33:11,0.001061,0.020049,37.5,43.0
127,2025-10-21T15:33:11,0.001107,0.020129,100.0,43.1
128,2025-10-21T15:33:11,0.001141,0.019713,12.5,43.0
129,2025-10-21T15:33:11,0.001018,0.019645,37.5,43.1
130,2025-10-21T15:33:11,0.001072,0.019053,48.4,43.1
131,2025-10-21T15:33:11,0.001275,0.02029,58.8,43.1
132,2025-10-21T15:33:11,0.001019,0.020361,68.8,43.1
133,2025-10-21T15:33:11,0.001455,0.019113,36.4,43.1
134,2025-10-21T15:33:11,0.001168,0.019048,25.0,43.1
135,2025-10-21T15:33:11,0.001156,0.020076,23.5,43.1
136,2025-10-21T15:33:11,0.000981,0.019406,37.5,43.1
137,2025-10-21T15:33:11,0.001103,0.018585,5.9,43.1
138,2025-10-21T15:33:11,0.001482,0.019082,41.2,43.1
139,2025-10-21T15:33:11,0.001384,0.02022,32.3,43.1
140,2025-10-21T15:33:11,0.001462,0.019162,72.2,43.1
141,2025-10-21T15:33:11,0.000944,0.017452,6.2,43.1
142,2025-10-21T15:33:11,0.001331,0.020751,60.6,43.1
143,2025-10-21T15:33:11,0.001234,0.019547,6.2,43.1
144,2025-10-21T15:33:11,0.001055,0.017948,6.2,43.1
145,2025-10-21T15:33:11,0.001589,0.019592,40.6,43.0
146,2025-10-21T15:33:11,0.00095,0.019788,6.7,43.0
147,2025-10-21T15:33:11,0.001396,0.019534,23.5,43.1
148,2025-10-21T15:33:11,0.000964,0.019842,9.7,43.1
149,2025-10-21T15:33:11,0.001379,0.017915,17.6,43.0
150,2025-10-21T15:33:11,0.001293,0.018817,18.8,43.1
151,2025-10-21T15:33:11,0.001078,0.018992,37.5,43.1
152,2025-10-21T15:33:11,0.001204,0.019576,18.8,43.0
153,2025-10-21T15:33:11,0.001252,0.020107,18.8,43.1
154,2025-10-21T15:33:11,0.001251,0.020732,6.2,43.0
155,2025-10-21T15:33:11,0.000901,0.019654,37.5,43.0
156,2025-10-21T15:33:11,0.00145,0.018483,50.0,43.1
157,2025-10-21T15:33:11,0.001119,0.018885,56.7,43.1
158,2025-10-21T15:33:12,0.001331,0.018284,5.6,43.1
159,2025-10-21T15:33:12,0.001145,0.019672,6.2,43.1
160,2025-10-21T15:33:12,0.000935,0.019348,12.5,43.1
161,2025-10-21T15:33:12,0.00101,0.019384,31.2,43.1
162,2025-10-21T15:33:12,0.001101,0.018406,31.2,43.1
163,2025-10-21T15:33:12,0.001306,0.019086,18.8,43.1
164,2025-10-21T15:33:12,0.001272,0.018372,6.2,43.1
165,2025-10-21T15:33:12,0.001237,0.017951,52.9,43.1
166,2025-10-21T15:33:12,0.001124,0.022201,43.8,43.1
167,2025-10-21T15:33:12,0.001118,0.019695,25.0,43.1
168,2025-10-21T15:33:12,0.001363,0.020153,35.3,43.1
169,2025-10-21T15:33:12,0.001328,0.019529,50.0,43.1
170,2025-10-21T15:33:12,0.001002,0.019806,43.8,43.1
171,2025-10-21T15:33:12,0.0011,0.019897,33.3,43.1
172,2025-10-21T15:33:12,0.001113,0.0187,4.5,43.1
173,2025-10-21T15:33:12,0.000949,0.019178,29.4,43.1
174,2025-10-21T15:33:12,0.001343,0.020295,13.6,43.1
175,2025-10-21T15:33:12,0.00108,0.019227,26.9,43.1
